Segmento TRL,Pregunta,Respuesta,Puntaje
TRL 1-3,¿Tu proyecto es innovador? Marca todas las opciones que apliquen.,No presenta innovación clara ni diferenciación.,0.0
TRL 1-3,¿Tu proyecto es innovador? Marca todas las opciones que apliquen.,"Tiene algún grado de innovación, pero aún no ha recibido validaciones externas.",3.0
TRL 1-3,¿Tu proyecto es innovador? Marca todas las opciones que apliquen.,Ha recibido validaciones iniciales.,3.0
TRL 1-3,¿Tu proyecto es innovador? Marca todas las opciones que apliquen.,Cuenta con documentación técnica en inglés.,2.0
TRL 1-3,¿Tu proyecto es innovador? Marca todas las opciones que apliquen.,Tiene un equipo interdisciplinario.,2.0
TRL 1-3,¿El problema que aborda tu proyecto está claramente identificado y justificado?,No hemos identificado claramente el problema ni tenemos justificación técnica.,0.0
TRL 1-3,¿El problema que aborda tu proyecto está claramente identificado y justificado?,"Hemos identificado el problema, pero no hemos justificado su impacto.",10.0
TRL 1-3,¿El problema que aborda tu proyecto está claramente identificado y justificado?,Hemos identificado el problema y justificado su impacto con datos.,15.0
TRL 1-3,¿El problema que aborda tu proyecto está claramente identificado y justificado?,La presentación y justificación incluyen referencias en inglés.,5.0
TRL 1-3,¿Cómo evaluarías la viabilidad técnica de tu proyecto?,No hemos demostrado viabilidad técnica ni contamos con metodología clara.,0.0
TRL 1-3,¿Cómo evaluarías la viabilidad técnica de tu proyecto?,"Hemos planteado ideas generales de viabilidad técnica, pero sin pruebas.",7.5
TRL 1-3,¿Cómo evaluarías la viabilidad técnica de tu proyecto?,Hemos realizado pruebas preliminares para validar la viabilidad técnica.,10.0
TRL 1-3,¿Cómo evaluarías la viabilidad técnica de tu proyecto?,Nuestro equipo está compuesto por varias disciplinas y contamos con un docente asesor.,5.0
TRL 1-3,¿Tu proyecto cuenta con respaldo de investigación previa? Marca todas las opciones que apliquen.,No hemos realizado investigación previa ni tenemos sustento teórico.,0.0
TRL 1-3,¿Tu proyecto cuenta con respaldo de investigación previa? Marca todas las opciones que apliquen.,Contamos con una investigación inicial con fuentes limitadas.,10.0
TRL 1-3,¿Tu proyecto cuenta con respaldo de investigación previa? Marca todas las opciones que apliquen.,Hemos consultado fuentes académicas y técnicas.,5.0
TRL 1-3,¿Tu proyecto cuenta con respaldo de investigación previa? Marca todas las opciones que apliquen.,Algunas de nuestras fuentes incluyen documentos en inglés.,5.0
TRL 1-3,¿Tu proyecto cuenta con respaldo de investigación previa? Marca todas las opciones que apliquen.,Nuestro equipo ha trabajado de forma multidisciplinaria en la investigación.,5.0
TRL 1-3,¿Han realizado pruebas y validaciones iniciales?,No hemos realizado pruebas ni validaciones iniciales.,0.0
TRL 1-3,¿Han realizado pruebas y validaciones iniciales?,Hemos hecho pruebas exploratorias sin resultados concluyentes.,7.5
TRL 1-3,¿Han realizado pruebas y validaciones iniciales?,Hemos realizado pruebas con validación documentada.,10.0
TRL 1-3,¿Han realizado pruebas y validaciones iniciales?,Nuestra validación incluye perspectiva técnica y académica con docentes involucrados.,5.0
TRL 4-7,¿Cómo ha sido desarrollado el prototipo de tu proyecto?,No se ha construido prototipo o solo es una simulación sin integración de componentes.,0.0
TRL 4-7,¿Cómo ha sido desarrollado el prototipo de tu proyecto?,"Se ha construido parcialmente o en simulación, sin integración completa de sus componentes.",5.0
TRL 4-7,¿Cómo ha sido desarrollado el prototipo de tu proyecto?,El prototipo ha sido construido y es funcional en sus características básicas.,10.0
TRL 4-7,¿Cómo ha sido desarrollado el prototipo de tu proyecto?,Cuenta con documentación técnica en inglés.,5.0
TRL 4-7,¿Cómo ha sido desarrollado el prototipo de tu proyecto?,El equipo de desarrollo es interdisciplinario.,5.0
TRL 4-7,¿Cómo ha sido desarrollado el prototipo de tu proyecto?,"El prototipo está completamente construido y funcional, con documentación clave en inglés y un equipo interdisciplinario.",25.0
TRL 4-7,¿Qué pruebas de funcionamiento han sido realizadas en el prototipo?,"No se han realizado pruebas o han sido mínimas, sin protocolos definidos.",0.0
TRL 4-7,¿Qué pruebas de funcionamiento han sido realizadas en el prototipo?,"Se han realizado pruebas iniciales, pero sin documentación técnica.",5.0
TRL 4-7,¿Qué pruebas de funcionamiento han sido realizadas en el prototipo?,"Se han realizado pruebas en un entorno controlado con resultados parciales, pero sin validación completa.",10.0
TRL 4-7,¿Qué pruebas de funcionamiento han sido realizadas en el prototipo?,"Se han realizado pruebas con protocolos estructurados, pero sin reporte detallado.",15.0
TRL 4-7,¿Qué pruebas de funcionamiento han sido realizadas en el prototipo?,"Las pruebas han sido estructuradas con protocolos definidos, obteniendo resultados consistentes.",20.0
TRL 4-7,¿El prototipo ha sido validado en un entorno relevante o similar al real?,"No se ha probado en un entorno relevante, solo en laboratorio sin considerar condiciones reales.",0.0
TRL 4-7,¿El prototipo ha sido validado en un entorno relevante o similar al real?,"Ha sido probado en un entorno relevante, pero sin datos concluyentes sobre su desempeño.",10.0
